Year,Month,State,City,AVG_Max_High_Temp
2016,July,MD,Adelphi,99.00037527901785
2016,August,MD,Adelphi,95.97967651367183
2016,September,MD,Adelphi,91.9380941336495
2016,October,MD,Adelphi,82.16987252371649
2016,November,MD,Adelphi,72.86141305106025
2016,December,MD,Adelphi,63.57792393275666
2017,January,MD,Adelphi,60.923229457310256
2017,February,MD,Adelphi,62.4623826381138
2017,March,MD,Adelphi,70.26808244977677
2017,April,MD,Adelphi,80.76760114397322
2017,May,MD,Adelphi,88.70135184151785
2017,June,MD,Adelphi,95.42650181361606
2017,July,MD,Adelphi,98.61047049386158
2017,August,MD,Adelphi,96.42537091936383
2017,September,MD,Adelphi,92.20687465122765
2017,October,MD,Adelphi,82.50968749999998
2017,November,MD,Adelphi,73.198217250279
2017,December,MD,Adelphi,65.11891601562498
2018,January,MD,Adelphi,62.5242435128348
2018,February,MD,Adelphi,63.360703299386145
2018,March,MD,Adelphi,73.05894461495534
2018,April,MD,Adelphi,80.71536115373881
2018,May,MD,Adelphi,89.34255841936383
2018,June,MD,Adelphi,94.70512119838168
2018,July,MD,Adelphi,99.98617588588169
2018,August,MD,Adelphi,99.17845319475443
2018,September,MD,Adelphi,92.52753156389505
2018,October,MD,Adelphi,83.83075422014508
2018,November,MD,Adelphi,73.59144670758927
2018,December,MD,Adelphi,64.19818062918525
2019,January,MD,Adelphi,60.995263148716504
2019,February,MD,Adelphi,64.81172781808034
2019,March,MD,Adelphi,71.9709763881138
2019,April,MD,Adelphi,82.80903093610488
2019,May,MD,Adelphi,90.6720741489955
2019,June,MD,Adelphi,98.19788417271204
2019,July,MD,Adelphi,100.66313773018972
2019,August,MD,Adelphi,98.5910220772879
2019,September,MD,Adelphi,92.6954131208147
2019,October,MD,Adelphi,83.7696309988839
2019,November,MD,Adelphi,73.99748046874998
2019,December,MD,Adelphi,66.08429513113838
2020,January,MD,Adelphi,61.934662214006664
2020,February,MD,Adelphi,64.17357648577008
2020,March,MD,Adelphi,69.99075090680802
2020,April,MD,Adelphi,82.30472446986604
2020,May,MD,Adelphi,90.03882742745536
2020,June,MD,Adelphi,95.46385271344863
2020,July,MD,Adelphi,99.11038504464284
2020,August,MD,Adelphi,96.93696236746648
2020,September,MD,Adelphi,93.03050920758928
2020,October,MD,Adelphi,85.25606026785715
2020,November,MD,Adelphi,74.56566458565845
2020,December,MD,Adelphi,64.7100624302455
2021,January,MD,Adelphi,61.748906947544604
2021,February,MD,Adelphi,62.79909528459819
2021,March,MD,Adelphi,72.17658028738838
2021,April,MD,Adelphi,80.85520403180801
2021,May,MD,Adelphi,88.21570120675221
2021,June,MD,Adelphi,94.84180419921874
2021,July,MD,Adelphi,99.70381417410714
2021,August,MD,Adelphi,96.07188319614953
2021,September,MD,Adelphi,93.62242379324772
2021,October,MD,Adelphi,81.99313389369418
2021,November,MD,Adelphi,73.64978410993301
2021,December,MD,Adelphi,62.87430977957588
2022,January,MD,Adelphi,59.41210449218749
2022,February,MD,Adelphi,63.13038016183033
2022,March,MD,Adelphi,72.26268694196426
2022,April,MD,Adelphi,81.05109026227677
2022,May,MD,Adelphi,89.95881818498881
2022,June,MD,Adelphi,96.60863071986606
2022,July,MD,Adelphi,96.60889491489952
2022,August,MD,Adelphi,96.30138759068079
2022,September,MD,Adelphi,92.2094747488839
